\rules only table

|(Position) |name |invocations |avgTime |totalTime |percentTime |
|34 |filter: [all[shadows+tiddlers]tag[$:/tags/ViewTemplate]!has[draft.of]] |280 |0.03214285714285714 |9 |0.5441354292623942 |
|35 |filter: Forums Latest Tutorials [[Community Editions]] [[Community Plugins]] [[Community Themes]] [[Community Palettes]] [[Other Resources]] Examples Articles Meetups |202 |0.04455445544554455 |9 |0.5441354292623942 |
|36 |filter: [all[current]tagging[]] |320 |0.028125 |9 |0.5441354292623942 |
|37 |filter: [all[shadows+tiddlers]tag[$:/tags/ViewToolbar]!has[draft.of]] |280 |0.02857142857142857 |8 |0.48367593712212814 |
|38 |filter: [!is[system]has[type]each[type]sort[type]] -[type[text/vnd.tiddlywiki]] |1 |8 |8 |0.48367593712212814 |
|39 |filter: [all[current]removeprefix[$:/]] |280 |0.025 |7 |0.42321644498186217 |
|40 |filter:  [<currentTiddler>get[show-when]addprefix[tc-menubar-]] tc-menubar-item +[join[ ]]  |606 |0.01155115511551155 |7 |0.42321644498186217 |
|41 |filter: [tag[ReleaseNotes]!sort[created]] |50 |0.14 |7 |0.42321644498186217 |
|42 |filter: [all[shadows+tiddlers]tag[$:/tags/SideBar]!has[draft.of]] |205 |0.02926829268292683 |6 |0.36275695284159615 |
|43 |filter: [all[current]has[plugin-type]] -[all[current]field:plugin-type[import]] |280 |0.02142857142857143 |6 |0.36275695284159615 |
|44 |filter: [<full-title>removeprefix<__prefix__>] |2031 |0.0029542097488921715 |6 |0.36275695284159615 |
|45 |filter:  [[$:/state/tag-manager/]addsuffix<currentTiddler>]  |640 |0.009375 |6 |0.36275695284159615 |
|46 |filter:  [{$:/layout}has[text]] ~[[$:/core/ui/PageTemplate]]  |101 |0.04950495049504951 |5 |0.3022974607013301 |
|47 |filter: [all[shadows+tiddlers]tag[$:/tags/MenuBar]!has[draft.of]] -[all[tiddlers+shadows]tag[$:/tags/TopLeftBar]limit[1]then[]else[$:/plugins/tiddlywiki/menubar/items/topleftbar]] -[all[tiddlers+shadows]tag[$:/tags/TopRightBar]limit[1]then[]else[$:/plugins/tiddlywiki/menubar/items/toprightbar]] |202 |0.024752475247524754 |5 |0.3022974607013301 |
|48 |filter: [[narrow]match[wide]] ~[<currentTiddler>get[show-when]match[narrow]] ~[{$:/state/popup/menubar/hamburger}match[yes]] |505 |0.009900990099009901 |5 |0.3022974607013301 |
|49 |filter:  [[$:/state/toc]addsuffix<__path__>addsuffix[-]addsuffix<currentTiddler>]  |640 |0.0078125 |5 |0.3022974607013301 |
|50 |filter: [all[shadows+tiddlers]tag[$:/tags/PageControls]!has[draft.of]] |102 |0.0392156862745098 |4 |0.24183796856106407 |
|51 |filter: [all[current]has[icon]]~[[$:/config/DefaultTiddlerIcon]has[text]] |280 |0.014285714285714285 |4 |0.24183796856106407 |
|52 |filter: [enlist{!!saving-os}] |61 |0.06557377049180328 |4 |0.24183796856106407 |
|53 |filter:  [<currentTiddler>get[target]else<currentTiddler>]  |640 |0.00625 |4 |0.24183796856106407 |
|54 |filter:  [[$:/state/tree/]addsuffix<__prefix__>addsuffix<__chunk__>]  |441 |0.009070294784580499 |4 |0.24183796856106407 |
|55 |filter: [<swatchColour>prefix[<<colour ]suffix[>>]] |140 |0.02857142857142857 |4 |0.24183796856106407 |
|56 |filter: [all[shadows+tiddlers]tag[$:/tags/StartupAction]!has[draft.of]] |1 |3 |3 |0.18137847642079807 |
|57 |filter: [all[shadows+tiddlers]tag[$:/tags/Stylesheet]!has[draft.of]] |102 |0.029411764705882353 |3 |0.18137847642079807 |
|58 |filter: [<background>is[image]] |101 |0.0297029702970297 |3 |0.18137847642079807 |
|59 |filter: [all[shadows+tiddlers]tag[$:/tags/Macro/View]!has[draft.of]] |280 |0.010714285714285714 |3 |0.18137847642079807 |
|60 |filter: [all[current]!prefix[$:/]] |280 |0.010714285714285714 |3 |0.18137847642079807 |
|61 |filter: [all[current]type[text/x-tiddlywiki]] |280 |0.010714285714285714 |3 |0.18137847642079807 |
|62 |filter: [all[current]!has[plugin-type]!field:hide-body[yes]] |280 |0.010714285714285714 |3 |0.18137847642079807 |
|63 |filter: [all[current]field:plugin-type[import]] |280 |0.010714285714285714 |3 |0.18137847642079807 |
|64 |filter: [<currentTiddler>!is-dropdown[yes]] |606 |0.0049504950495049506 |3 |0.18137847642079807 |
|65 |filter: [all[current]toc-link[no]] |640 |0.0046875 |3 |0.18137847642079807 |
|66 |filter: $:/config/shortcuts/ $:/config/shortcuts-mac/ $:/config/shortcuts-not-mac/ $:/config/shortcuts-linux/ $:/config/shortcuts-not-linux/ $:/config/shortcuts-windows/ $:/config/shortcuts-not-windows/ |90 |0.03333333333333333 |3 |0.18137847642079807 |
|67 |filter: [<swatchColour>!prefix[<<colour ]!suffix[>>]] |140 |0.02142857142857143 |3 |0.18137847642079807 |
|68 |filter:  [{$:/config/plugins/menubar/breakpoint}removesuffix[px]add[1]addsuffix[px]] ~[{$:/config/plugins/menubar/breakpoint}]  |101 |0.019801980198019802 |2 |0.12091898428053204 |
|69 |filter: [all[shadows+tiddlers]tag[$:/tags/PageTemplate]!has[draft.of]] |101 |0.019801980198019802 |2 |0.12091898428053204 |
|70 |filter: [all[shadows+tiddlers]tag[$:/tags/SideBarSegment]!has[draft.of]] |101 |0.019801980198019802 |2 |0.12091898428053204 |
|71 |filter:  [<__explicitState__>minlength[1]] ~[<qualifiedState>]  |352 |0.005681818181818182 |2 |0.12091898428053204 |
|72 |filter: [all[shadows+tiddlers]tag[$:/tags/AboveStory]!has[draft.of]] |101 |0.019801980198019802 |2 |0.12091898428053204 |
|73 |filter: [enlist{!!saving-browser}] |61 |0.03278688524590164 |2 |0.12091898428053204 |
|74 |filter: [list[]addprefix<tag1>addsuffix<tag2>]+[join[]addprefix<lb>addsuffix<rb>] |61 |0.03278688524590164 |2 |0.12091898428053204 |
|75 |filter: [<currentTiddler>has[custom-menu-content]] |505 |0.0039603960396039604 |2 |0.12091898428053204 |
|76 |filter: [[$:/state/popup/menubar/hamburger]get[text]else[no]match[no]] |202 |0.009900990099009901 |2 |0.12091898428053204 |
|77 |filter: [[$:/state/sidebar]get[text]] +[else[yes]match[no]] |101 |0.019801980198019802 |2 |0.12091898428053204 |
|78 |filter:  [<__path__>addsuffix[/]addsuffix<__tag__>]  |82 |0.024390243902439025 |2 |0.12091898428053204 |
|79 |filter:  [<listItem>encodeuricomponent[]addprefix[tc-btn-]]  |25 |0.08 |2 |0.12091898428053204 |
|80 |filter: [type{!!type}!is[system]sort[title]] |8 |0.25 |2 |0.12091898428053204 |
|81 |filter: [!has[draft.of]plugin-type[plugin]sort[description]] |2 |1 |2 |0.12091898428053204 |
|82 |filter: [[$:/languages/en-GB]] [plugin-type[language]sort[title]] |4 |0.5 |2 |0.12091898428053204 |
|83 |filter: [!has[draft.of]plugin-type[language]] |2 |1 |2 |0.12091898428053204 |
|84 |filter: [!has[draft.of]plugin-type[plugin]sort[name]] |2 |1 |2 |0.12091898428053204 |
|85 |filter: [all[shadows+tiddlers]removeprefix[$:/config/ShortcutInfo/]] |2 |1 |2 |0.12091898428053204 |
|86 |filter:  [{$:/language}get[name]]  |101 |0.009900990099009901 |1 |0.06045949214026602 |
|87 |filter: [list<tv-story-list>] |38 |0.02631578947368421 |1 |0.06045949214026602 |
|88 |filter: [list[$:/StoryList]] |101 |0.009900990099009901 |1 |0.06045949214026602 |
|89 |filter: [all[current]tags[]sort[title]] |280 |0.0035714285714285713 |1 |0.06045949214026602 |
|90 |filter: [all[shadows+tiddlers]tag[$:/tags/Alert]!has[draft.of]] |101 |0.009900990099009901 |1 |0.06045949214026602 |
|91 |filter: [{$:/status/RequireReloadDueToPluginChange}match[yes]] |101 |0.009900990099009901 |1 |0.06045949214026602 |
|92 |filter: [[$:/state/popup/menubar/hamburger]get[text]else[no]match[yes]] |202 |0.0049504950495049506 |1 |0.06045949214026602 |
|93 |filter: [[wide]match[wide]] ~[<currentTiddler>get[show-when]match[wide]] ~[{$:/state/popup/menubar/hamburger}match[yes]] |505 |0.0019801980198019802 |1 |0.06045949214026602 |
|94 |filter:  [<dropdown-state>addsuffix<currentTiddler>]  |202 |0.0049504950495049506 |1 |0.06045949214026602 |
|95 |filter: [all[shadows+tiddlers]tag[$:/tags/TopRightBar]!has[draft.of]reverse[]] |101 |0.009900990099009901 |1 |0.06045949214026602 |
|96 |filter: [[$:/state/sidebar]get[text]] +[else[yes]!match[no]] |101 |0.009900990099009901 |1 |0.06045949214026602 |
|97 |filter:  [<currentTiddler>get[dropdown]get[class]]  |101 |0.009900990099009901 |1 |0.06045949214026602 |
|98 |filter: [all[shadows+tiddlers]tag[$:/tags/StartupAction/PostRender]!has[draft.of]] |1 |1 |1 |0.06045949214026602 |
